,Functional,Reduced Formula,Config,State,F Frac,Pristine Li Frac,True F,True O,True Li,True V,True Nb,True Vac,Energy (eV),Normalized Energy (eV/atom),Volume (A^3),Tet Li,Oct Li,Tet V,Oct V
0,SCAN+rVV10,Nb2VO10,LMOF_mF0.0_xM3_0.1_1273.0K_492,FullDeLi,0,1.4,0,20,0,2,4,14,-340.10783,-13.08107038,359.0294261,0,0,0,2
1,SCAN+rVV10,Li5Nb2VO10,LMOF_mF0.0_xM3_0.1_1273.0K_492,FullDeLiECap,0,1.4,0,20,10,2,4,4,-404.49446,-11.23595722,388.2989263,3,7,2,0
2,SCAN+rVV10,Li7Nb2VO10,LMOF_mF0.0_xM3_0.1_1273.0K_492,Pristine,0,1.4,0,20,14,2,4,0,-424.28827,-10.60720675,366.0131005,0,14,0,2
3,SCAN+rVV10,Nb2VO10,LMOF_mF0.0_xM3_0.1_1273.0K_493,FullDeLi,0,1.4,0,20,0,2,4,14,-338.08499,-13.00326885,336.2228484,0,0,0,2
4,SCAN+rVV10,Li5Nb2VO10,LMOF_mF0.0_xM3_0.1_1273.0K_493,FullDeLiECap,0,1.4,0,20,10,2,4,4,-404.18922,-11.22747833,398.331856,7,3,2,0
5,SCAN+rVV10,Li7Nb2VO10,LMOF_mF0.0_xM3_0.1_1273.0K_493,Pristine,0,1.4,0,20,14,2,4,0,-424.28866,-10.6072165,365.9109066,0,14,0,2
6,SCAN+rVV10,Nb2VO10,LMOF_mF0.0_xM3_0.1_1273.0K_494,FullDeLi,0,1.4,0,20,0,2,4,14,-339.82349,-13.07013423,346.1746142,0,0,0,2
7,SCAN+rVV10,Li5Nb2VO10,LMOF_mF0.0_xM3_0.1_1273.0K_494,FullDeLiECap,0,1.4,0,20,10,2,4,4,-403.51453,-11.20873694,398.2240935,3,7,0,2
8,SCAN+rVV10,Li7Nb2VO10,LMOF_mF0.0_xM3_0.1_1273.0K_494,Pristine,0,1.4,0,20,14,2,4,0,-424.08395,-10.60209875,365.0897516,0,14,0,2
9,SCAN+rVV10,Nb2VO10,LMOF_mF0.0_xM3_0.1_1273.0K_495,FullDeLi,0,1.4,0,20,0,2,4,14,-340.0603,-13.07924231,381.6233488,0,0,1,1
